City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
64,utrik,11.2278,169.8474,28.5,77,17,8.26,MH,1693168472
65,tura,25.5198,90.2201,23.31,94,99,2.03,IN,1693168472
66,titusville,28.6122,-80.8075,32.9,79,75,2.24,US,1693168368
67,iqaluit,63.7506,-68.5145,8.85,45,40,8.05,CA,1693168475
68,kaedi,16.1465,-13.5047,35.94,38,92,5.67,MR,1693168476
69,patterson,37.4716,-121.1297,33.34,15,0,3.53,US,1693168476
70,stanley,54.868,-1.6985,13.21,94,75,2.06,GB,1693168443
71,boac,13.4463,121.84,27.49,80,100,4.2,PH,1693168476
72,berezovo,63.9381,65.0419,8.62,71,100,2.12,RU,1693168477
73,avarua,-21.2078,-159.775,23.03,60,10,2.57,CK,1693168477
74,holualoa,19.6228,-155.9522,26.97,71,40,3.6,US,1693168477
75,lepsy,46.235,78.9456,19.7,66,100,7.63,KZ,1693168478
76,togur,58.3631,82.8265,10.78,91,81,2.61,RU,1693168478
77,olonkinbyen,70.9221,-8.7187,6.65,91,75,6.23,SJ,1693168478
78,dalandzadgad,43.5708,104.425,17.69,34,1,1.2,MN,1693168478
79,longyearbyen,78.2186,15.6401,7.91,93,75,4.12,SJ,1693168350
80,ormara,25.2088,64.6357,26.42,79,95,5.75,PK,1693168478
81,mbeni,-11.5014,43.3775,23.14,76,23,2.12,KM,1693168479
82,kununurra,-15.7667,128.7333,17.99,45,4,1.54,AU,1693168479
83,divnomorskoye,44.5011,38.1353,25.51,32,0,4.08,RU,1693168479
84,kailua-kona,19.6406,-155.9956,29.04,71,40,3.6,US,1693168479
85,antanifotsy,-19.65,47.3167,12.53,93,82,1.02,MG,1693168480
86,tsiombe,-25.3,45.4833,19.65,74,99,4.74,MG,1693168480
87,san angelo,31.4638,-100.437,37.12,38,40,6.17,US,1693168333
88,isafjordur,66.0755,-23.124,11.78,73,74,3.11,IS,1693168480
89,yellowknife,62.456,-114.3525,16.34,80,75,7.2,CA,1693168480
90,douglas,41.3,-96.167,28.67,48,0,2.06,US,1693168185
91,saipan,15.1355,145.701,27.39,94,75,3.6,MP,1693168481
92,luderitz,-26.6481,15.1594,23.44,17,0,8.99,NA,1693168481
93,panaba,21.2833,-88.2667,30.42,65,100,7.3,MX,1693168438
94,bunia,1.5667,30.25,19.94,67,32,0.95,CD,1693168203
95,sorong,-0.8833,131.25,24.49,92,100,4.91,ID,1693168481
96,farsan,32.2569,50.561,20.02,24,0,2.08,IR,1693168482
97,progreso,21.2833,-89.6667,32.28,69,63,5.26,MX,1693168482
98,nemuro,43.3236,145.575,18.97,100,100,0.59,JP,1693168482
